song_file,time_series,sample_rate,genre,bpm,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc,chroma_frequencies
../rawdata/genres/blues/blues.00000.wav,"[ 0.00732422  0.01660156  0.00762939 ... -0.05560303 -0.06106567
 -0.06417847]",22050,blues,123.046875,[[0.06494141 0.08300781 0.10791016 ... 0.08642578 0.06933594 0.04589844]],"[[2122.97750086 2102.62107328 1955.28566681 ... 1490.45684641
  1507.40421172 1439.64316125]]","[[4705.00488281 4640.40527344 4715.77148438 ... 2616.28417969
  3003.88183594 2939.28222656]]","[[-240.63542    -211.21436    -193.90889    ... -109.999146
   -86.81443     -84.073586  ]
 [  99.64764     101.04283     102.24396    ...  150.07935
   138.94867     138.30977   ]
 [  -7.4032764    -8.358528      1.9154348  ...  -50.795135
   -36.536144    -28.136356  ]
 ...
 [   9.741491      6.369472      3.650025   ...   -2.8571541
    -6.2137356    -0.49142802]
 [   3.5908718     4.05085       4.7889977  ...   -7.574687
    -8.44672      -6.7805653 ]
 [   5.348015      3.2318473     0.94024634 ...   -7.555338
     0.3061105     3.523497  ]]","[[0.33112547 0.2349237  0.8714165  ... 0.15691066 0.87786204 1.        ]
 [0.39392972 0.29400364 0.68826514 ... 0.13222207 0.68507564 0.72816885]
 [0.42932412 0.41955492 0.51602733 ... 0.25044858 0.5649644  0.40339905]
 ...
 [1.         1.         1.         ... 0.2619948  0.95514834 0.86573505]
 [0.4203325  0.36797962 0.6217583  ... 1.         1.         0.9858057 ]
 [0.3034829  0.19700052 0.64925486 ... 0.6287608  0.7172246  0.81626564]]"
../rawdata/genres/blues/blues.00001.wav,"[ 0.00341797  0.00430298  0.00137329 ... -0.11953735 -0.17495728
 -0.15118408]",22050,blues,107.666015625,[[0.015625   0.01806641 0.02148438 ... 0.0703125  0.05908203 0.04199219]],"[[ 886.90855361 1051.83134299 1125.26706995 ... 2048.36999725
  2010.93141813 1972.07980185]]","[[1625.75683594 2260.98632812 2723.95019531 ... 5749.36523438
  5695.53222656 5544.79980469]]","[[-3.39146393e+02 -2.23899673e+02 -1.56065292e+02 ... -1.18725746e+02
  -1.37507233e+02 -1.27304085e+02]
 [ 1.57718872e+02  1.44833557e+02  1.33976578e+02 ...  1.11489777e+02
   1.09199516e+02  1.10712349e+02]
 [ 1.17535114e+01  1.29924507e+01  1.19312429e+01 ...  1.57594070e+01
   1.96182327e+01  2.13222351e+01]
 ...
 [ 3.76574945e+00  1.49291730e+00  4.93760395e+00 ...  8.07128716e+00
   9.33395672e+00  4.92159319e+00]
 [-6.10569715e-01 -3.60157919e+00 -3.15349787e-01 ...  4.97579956e+00
   2.78385687e+00  4.17952347e+00]
 [-1.79417992e+00  2.63863266e-01  1.75895238e+00 ... -5.80773830e+00
  -4.30566597e+00 -1.85314870e+00]]","[[0.36823648 0.8158752  1.         ... 0.83394843 1.         1.        ]
 [0.5753066  0.64921254 0.8967563  ... 1.         0.705852   0.7670556 ]
 [0.63124555 0.63602763 0.70588064 ... 0.1329841  0.06873436 0.12401108]
 ...
 [0.95580137 0.48197773 0.39069214 ... 0.07732053 0.05309347 0.06027645]
 [0.72629774 0.5733241  0.50086343 ... 0.06244452 0.04035361 0.04794188]
 [0.56431705 0.7971815  0.7200399  ... 0.08945458 0.11069513 0.1592133 ]]"
../rawdata/genres/blues/blues.00002.wav,"[ 0.01901245  0.04769897  0.02941895 ...  0.01318359 -0.0663147
 -0.12484741]",22050,blues,161.4990234375,[[0.04638672 0.06396484 0.0859375  ... 0.08691406 0.07421875 0.05126953]],"[[1510.21141028 1419.00318588 1386.42492231 ... 1557.79227744
  1666.82905817 1826.97402838]]","[[2433.25195312 2368.65234375 2390.18554688 ... 2680.88378906
  3542.21191406 4500.43945312]]","[[-92.80102   -77.73783   -96.38281   ... -84.21025   -93.08216
  -61.54449  ]
 [147.20618   146.58553   141.7526    ... 144.3464    134.67857
  121.19281  ]
 [-52.90521   -42.7109    -32.56984   ... -27.747713  -14.00313
   -0.9127662]
 ...
 [ -3.6831918  -3.618559   -3.4759517 ...  -1.7851094  -0.5715274
   -6.1898313]
 [ -4.5099096  -7.2052054  -6.4472322 ...  -7.1639376 -11.941603
  -10.000967 ]
 [ -5.065584   -6.2239113  -8.008916  ...  -4.0543756 -13.07478
  -13.372361 ]]","[[0.27561098 0.20460801 0.19981515 ... 0.24957633 0.26682436 0.5848213 ]
 [0.10521639 0.11055412 0.08305006 ... 0.12293322 0.09505814 0.31018716]
 [0.3073892  0.46047983 0.42797792 ... 0.19608317 0.1180631  0.2273417 ]
 ...
 [0.19965804 0.16800888 0.11452356 ... 0.734481   0.3061833  0.30769703]
 [0.35397312 0.26785004 0.18105853 ... 0.49930567 0.39872897 0.49930266]
 [1.         1.         0.97220343 ... 1.         1.         1.        ]]"
../rawdata/genres/blues/blues.00003.wav,"[-0.01300049 -0.03060913 -0.03607178 ...  0.0098877   0.01107788
  0.0118103 ]",22050,blues,172.265625,[[0.01025391 0.01464844 0.01855469 ... 0.03417969 0.03417969 0.02539062]],"[[ 694.20628788  696.3364192   659.96426081 ... 1008.04442459
  1007.3868934  1124.11357357]]","[[1205.859375   1248.92578125 1119.7265625  ... 1798.02246094
  1722.65625    1937.98828125]]","[[-2.2065663e+02 -2.0152414e+02 -2.1341223e+02 ... -3.3387689e+02
  -3.3721777e+02 -3.4643613e+02]
 [ 1.8066992e+02  1.7818500e+02  1.7812717e+02 ...  1.4422888e+02
   1.4402466e+02  1.3900085e+02]
 [-1.9548073e+00 -2.4784663e+00 -1.8208236e+00 ...  2.3309826e+01
   2.4480331e+01  2.4834183e+01]
 ...
 [-3.9280620e+00 -5.7892861e+00 -6.2028036e+00 ... -3.5550284e+00
  -4.5154638e+00 -3.4228259e-01]
 [-6.5727961e-01 -7.4882865e-01 -3.3496184e+00 ... -8.9988546e+00
  -8.5015402e+00  8.7460786e-01]
 [ 3.5205779e+00 -7.3185056e-01 -3.8382750e+00 ... -7.6644974e+00
  -6.9369173e+00 -1.2910956e+00]]","[[0.60287297 0.36729065 0.33834004 ... 0.55220836 1.         1.        ]
 [0.8557006  0.743946   0.73498267 ... 0.79342043 0.54513824 0.51793647]
 [1.         1.         1.         ... 0.55320466 0.29293907 0.25578642]
 ...
 [0.3614694  0.2001773  0.15246798 ... 0.33268467 0.08303256 0.18640192]
 [0.2887291  0.12690765 0.10506925 ... 0.4631191  0.20412266 0.3752972 ]
 [0.45918387 0.20703167 0.17911361 ... 0.70105666 0.7990896  0.8584736 ]]"
../rawdata/genres/blues/blues.00004.wav,"[-0.00631714 -0.00927734 -0.0083313  ...  0.04135132  0.05197144
  0.05496216]",22050,blues,135.99917763157896,[[0.03955078 0.06494141 0.08935547 ... 0.06591797 0.05712891 0.04199219]],"[[1367.54433603 1552.98979661 1630.62768824 ... 1381.15135949
  1264.72065002 1311.96656003]]","[[2293.28613281 2788.54980469 3025.41503906 ... 2745.48339844
  2250.21972656 2045.65429688]]","[[-281.78323   -180.33914   -155.01845   ... -213.18954   -233.71912
  -237.56807  ]
 [ 143.1805     139.25536    131.83269   ...  145.63248    151.84286
   148.01392  ]
 [ -26.93118    -46.021706   -52.228638  ...  -18.697643   -14.29043
    -7.967267 ]
 ...
 [   7.9235983    7.7392673    0.9534084 ...    6.3518476    7.16669
    10.844136 ]
 [  -8.612148    -3.3798518   -2.3733492 ...   -5.1892347   -5.3364115
    -2.6328993]
 [ -16.884178   -19.392464   -15.931189  ...  -22.866608   -18.05001
   -13.002015 ]]","[[0.19081402 0.17394003 0.06381712 ... 0.0563374  0.03851688 0.05272371]
 [0.18194947 1.         0.75781274 ... 0.24662487 0.25863072 0.37005368]
 [0.1798321  0.96964467 1.         ... 1.         1.         1.        ]
 ...
 [0.592321   0.40629953 0.31536493 ... 0.25095418 0.3940773  0.33205372]
 [1.         0.45748216 0.16543184 ... 0.6768678  0.5347769  0.34199086]
 [0.58131343 0.22759978 0.07019632 ... 0.24634227 0.17376198 0.15373753]]"
../rawdata/genres/blues/blues.00005.wav,"[-0.02429199 -0.02975464 -0.00961304 ...  0.13458252  0.0619812
 -0.00091553]",22050,blues,112.34714673913044,[[0.04492188 0.06152344 0.08007812 ... 0.14111328 0.13232422 0.08105469]],"[[1736.18032898 1821.57483503 1869.88756628 ... 2627.96091407
  2239.03943766 1885.00954297]]","[[4145.14160156 4801.90429688 5092.60253906 ... 5286.40136719
  4651.171875   4306.640625  ]]","[[-227.19524   -209.5012    -213.05019   ...   -1.7873799  -29.341219
   -62.07827  ]
 [ 120.19792    116.803894   107.92096   ...  100.06938    116.33404
   130.13713  ]
 [  18.326035    20.973806    25.4546    ...  -38.442055   -38.088593
   -37.614372 ]
 ...
 [  -5.4183416   -5.989519    -4.5536733 ...   -2.5439181   -8.459995
   -11.128918 ]
 [ -13.367518   -11.968183    -7.8712044 ...  -13.6029625   -8.710509
    -4.9913197]
 [ -13.516987   -13.19548    -12.4314575 ...  -11.941525    -7.2821627
    -2.3247938]]","[[0.53499657 0.21312703 0.04687686 ... 0.4937137  0.37005997 0.3083684 ]
 [0.3554005  0.19945064 0.06751456 ... 0.34967098 0.3317669  0.40837055]
 [0.339957   0.26417994 0.15444122 ... 0.64410454 1.         1.        ]
 ...
 [1.         0.78819263 1.         ... 0.44849566 0.23508374 0.20356055]
 [0.81105155 0.79218215 0.96597785 ... 0.537289   0.35973647 0.46569413]
 [0.8425682  0.78210443 0.39197922 ... 1.         0.7826365  0.824099  ]]"
../rawdata/genres/blues/blues.00006.wav,"[ 0.1822815   0.28302002  0.21020508 ... -0.22045898 -0.36273193
 -0.4295349 ]",22050,blues,123.046875,[[0.03515625 0.04980469 0.07128906 ... 0.13330078 0.11425781 0.08544922]],"[[1397.04336272 1244.33203006 1116.20929002 ... 1888.75782215
  1932.02777076 2035.90392061]]","[[2616.28417969 2400.95214844 2260.98632812 ... 3003.88183594
  3090.01464844 3100.78125   ]]","[[ -86.7183      -90.16528    -125.283424   ...   -9.397479
   -31.821993    -46.869797  ]
 [ 154.99521     171.08765     181.51636    ...  129.15651
   120.54942      97.087524  ]
 [ -48.007225    -64.79976     -69.94763    ...  -82.77055
   -77.46677     -49.633614  ]
 ...
 [  -3.2071357    -2.7899988    -4.595726   ...   -5.257855
    -5.9115868    -0.83783305]
 [  -2.9716678    -1.5189254    -3.9918332  ...    7.8563075
     6.787201      8.600125  ]
 [  -2.846733     -7.1310267    -7.741209   ...    4.8265915
     6.4963784    11.076008  ]]","[[1.         1.         0.8375411  ... 0.2943307  0.307394   0.46112096]
 [0.5756617  0.38122103 0.25644416 ... 0.32890403 0.20031944 0.14613433]
 [0.16487134 0.05555001 0.03334845 ... 0.18376864 0.22217114 0.19361557]
 ...
 [0.48505217 0.67519885 1.         ... 1.         1.         1.        ]
 [0.21000858 0.18117209 0.2317288  ... 0.34741148 0.19952925 0.15031132]
 [0.5310098  0.3746303  0.22601916 ... 0.14610423 0.08838723 0.14919981]]"
../rawdata/genres/blues/blues.00007.wav,"[ 0.01290894  0.00811768 -0.00445557 ... -0.05819702  0.04946899
  0.16204834]",22050,blues,92.28515625,[[0.04296875 0.06347656 0.08496094 ... 0.09277344 0.07910156 0.05761719]],"[[1757.58998552 1913.41235713 1985.37275497 ... 1331.44989926
  1300.85197862 1511.3932258 ]]","[[3219.21386719 3940.57617188 4844.97070312 ... 2314.81933594
  2196.38671875 2368.65234375]]","[[-1.77500168e+02 -1.66767822e+02 -1.65219376e+02 ... -1.05112694e+02
  -1.27107361e+02 -1.04928329e+02]
 [ 1.32697144e+02  1.22230003e+02  1.16182465e+02 ...  1.62061951e+02
   1.58927460e+02  1.36992401e+02]
 [-3.37624817e+01 -4.03004570e+01 -4.56406937e+01 ... -7.29968262e+01
  -6.68533020e+01 -4.01954041e+01]
 ...
 [-1.77983475e+01 -1.71709137e+01 -1.47663002e+01 ... -6.97149181e+00
  -8.28115082e+00 -3.34077597e+00]
 [-9.08487892e+00 -9.81214714e+00 -8.14295959e+00 ... -9.65004206e-01
   3.59868109e-02  3.75227070e+00]
 [ 5.01965618e+00  4.18678713e+00  1.60267925e+00 ... -6.94315386e+00
  -4.98236465e+00  3.93584013e+00]]","[[0.16378823 0.13064133 0.12833408 ... 0.19320737 0.1106223  0.1897135 ]
 [0.2522652  0.21775958 0.20298398 ... 0.0646171  0.06109154 0.09677731]
 [0.7426445  0.87293464 0.87772673 ... 0.1621936  0.16847806 0.24739216]
 ...
 [0.25791824 0.2617562  0.36432573 ... 0.76933885 0.75240123 0.8658669 ]
 [0.20351206 0.18676293 0.18925118 ... 0.99082446 0.78987026 0.74527353]
 [0.06982923 0.04463797 0.04540005 ... 0.51938313 0.34707126 0.45271668]]"
../rawdata/genres/blues/blues.00008.wav,[0.01138306 0.02175903 0.0100708  ... 0.12051392 0.16903687 0.1708374 ],22050,blues,83.35433467741936,[[0.04296875 0.06738281 0.08544922 ... 0.07910156 0.07373047 0.05322266]],"[[1588.86487413 2000.88502881 2407.52501529 ... 1652.28867345
  1797.28992901 1959.49338601]]","[[3003.88183594 4597.33886719 5813.96484375 ... 3499.14550781
  4306.640625   4844.97070312]]","[[ -93.50395    -17.947634    -6.428304  ... -144.14691   -129.41666
  -117.549446 ]
 [ 144.5638     121.847496   103.670395  ...  137.37738    131.08134
   111.013725 ]
 [ -31.657402   -25.763752   -17.934738  ...  -18.454803   -15.799644
    -2.486109 ]
 ...
 [  -1.2330568    3.7336376    7.323431  ...    5.952056     5.284786
     3.2191896]
 [   2.4632974   -2.0497925   -1.9458047 ...   12.248142    11.818277
     5.7671223]
 [  -3.302345     2.8729978    1.2254434 ...  -15.578899   -21.019016
   -20.65842  ]]","[[0.17355038 0.21850035 0.23494641 ... 0.3756212  0.47934797 0.5495006 ]
 [0.1344047  0.20708364 0.28758323 ... 0.10059054 0.09208921 0.10436008]
 [0.09139375 0.18140537 0.2961381  ... 0.14691451 0.15294944 0.12135407]
 ...
 [0.24473825 0.35194463 0.5368863  ... 0.8614458  0.52200043 0.3121025 ]
 [0.10970403 0.22036767 0.3169813  ... 0.3608694  0.20787418 0.22635227]
 [0.11401511 0.2647764  0.46193138 ... 1.         0.667083   0.51618844]]"
../rawdata/genres/blues/blues.00009.wav,"[ 0.04647827  0.06399536  0.04327393 ... -0.04052734 -0.03955078
 -0.03741455]",22050,blues,129.19921875,[[0.03955078 0.06933594 0.09521484 ... 0.04394531 0.03466797 0.02294922]],"[[1774.07833455 1767.53373957 1741.59169354 ... 1286.86358511
  1362.74660783 1431.84661406]]","[[3348.41308594 3445.3125     3477.61230469 ... 2390.18554688
  2680.88378906 2906.98242188]]","[[-2.1029622e+02 -1.2404711e+02 -8.9922043e+01 ... -2.7239114e+02
  -2.8404556e+02 -2.8851547e+02]
 [ 1.3100198e+02  1.4120541e+02  1.4578737e+02 ...  1.3530600e+02
   1.3038913e+02  1.3046594e+02]
 [-2.3883921e+01 -4.8344841e+01 -5.9834564e+01 ...  1.0375042e+01
   1.5032114e+01  1.8024395e+01]
 ...
 [ 1.3536798e+01  1.7895828e+01  1.4559851e+01 ... -4.8760381e+00
  -3.9194932e+00  9.9227124e-01]
 [ 5.5246372e+00  5.4784789e+00  1.4714253e-01 ... -7.0892367e+00
  -6.6040654e+00 -6.0161877e+00]
 [ 7.8465849e-01  1.3285809e+00 -2.8351421e+00 ... -8.4632626e+00
  -6.5071726e+00 -4.0075612e+00]]","[[0.09073218 0.0519455  0.1026809  ... 0.0128245  0.01244817 0.03584326]
 [0.18653616 0.12699173 0.2637203  ... 0.02649825 0.02583674 0.07545592]
 [0.4317571  0.41327742 0.9722155  ... 0.20596941 0.18643291 0.18957545]
 ...
 [0.36245415 0.15595868 0.1454843  ... 0.15526704 0.17010088 0.21049713]
 [0.1227718  0.05760857 0.06633652 ... 1.         1.         1.        ]
 [0.07869435 0.07027481 0.1092089  ... 0.2908507  0.2674582  0.3283702 ]]"
